178,"Тверская область, Тверь, 1-й пер. Красной Слободы, 7/1",р-н Пролетарский,панельный,7,10,3,70,46,8,лоджия,Вторичка,5200000
179,"ул. Планерная, д. 8",р-н Заволжский,кирпичный,1,10,1,42.9,18.3,11.4,нет,Новострой,2488200
180,"Тверская область, Тверь, ул. Орджоникидзе, 13",р-н Московский,кирпичный,1,2,2,46.6,28.5,7.2,нет,Вторичка,2200000
181,"Тверская область, Тверь, пер. Никитина, 6",р-н Заволжский,панельный,2,5,2,45,28.5,7.2,балкон,Вторичка,2130000
182,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,3,88.4,51.1,17.3,лоджия,Вторичка,3300000
183,"Тверская область, Тверь, 1-я ул. Профинтерна, 6",р-н Пролетарский,деревянный,2,2,2,36.1,28.3,5,нет,Вторичка,850000
184,"Тверская область, Тверь, ул. Бебеля, 7",р-н Центральный,кирпичный,3,4,3,96.3,51.3,12.3,лоджия,Вторичка,12000000
185,"Тверь, улица Бориса Полевого, 9",р-н Пролетарский,кирпичный,2,16,2,59.7,31.7,9,лоджия,Вторичка,4580000
186,"Тверская область, Тверь, ул. Фрунзе",р-н Заволжский,кирпичный,6,10,2,41.6,31.7,9,лоджия,Новострой,4096400
187,"Тверская область, Тверь, Новочеркасская ул., 50",р-н Заволжский,панельный,14,17,1,34.8,31.7,9,лоджия,Вторичка,1980000
189,"ул. Новочеркасская, д. 55",р-н Заволжский,панельный,15,17,студия,23.3,31.7,9,балкон,Новострой,1712000
190,"Тверская область, Тверь, Медовая ул., 1Б",р-н Заволжский,панельный,3,4,1,34.6,31.7,9,лоджия,Вторичка,1963000
191,"Тверская область, Тверь, пр-т Калинина, 6",р-н Центральный,кирпичный,2,4,2,54.4,32,8.5,нет,Вторичка,3199999
192,"Тверская область, Тверь, Московский район, жилой комплекс Лесная Мелодия-3",р-н Московский,панельный,14,16,2,37,32,8.5,балкон,Новострой,2324000
193,"Тверская область, Тверь, Взлётная ул., 8",р-н Московский,кирпичный,13,16,1,42,32,9,лоджия,Вторичка,2250000
194,"Тверская область, Тверь, Петербургское ш., 38к1",р-н Заволжский,кирпичный,3,5,3,89.5,51.6,13.1,лоджия,Вторичка,5950000
195,"Тверская область, Тверь, 2-я Боровая ул., 7",р-н Пролетарский,кирпичный,2,2,2,45,32,6,балкон,Вторичка,1630000
196,"Тверская область, Тверь, ул. Склизкова, 116к6",р-н Московский,монолитный,17,17,2,72,35,15,лоджия,Вторичка,4270000
197,"Тверская область, Тверь, Георгиевская ул., 8",р-н Пролетарский,панельный,2,5,2,50.2,30.7,7.5,лоджия,Вторичка,3550000
198,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,11,16,2,61.4,28.1,13.5,лоджия,Новострой,3585731
199,"Тверская область, Тверь, Тверской пр-т, 16",р-н Центральный,кирпичный,5,5,3,80.3,28.1,13.5,лоджия,Вторичка,4800000
200,"Тверская область, Тверь, ул. Спартака, 43",р-н Центральный,кирпичный,2,4,1,29,16,7,нет,Вторичка,1600000
201,"Тверская область, Тверь, ул. Хромова, 6А",р-н Заволжский,блочный,2,3,2,40,27,4.5,нет,Вторичка,1750000
202,"наб. Иртыша, д. 10",р-н Заволжский,кирпичный,3,5,1,39.3,27,4.5,лоджия,Новострой,2239530
203,"Тверь, улица Скворцова-Степанова, 18",р-н Заволжский,панельный,5,5,4,91,27,9,лоджия,Вторичка,3450000
204,"Тверская область, Тверь, Тверской пр-т, 15",р-н Центральный,кирпичный,3,4,3,82,49,9.3,балкон,Вторичка,5700000
205,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,16,16,3,77.4,49,9.3,лоджия,Новострой,4303000
206,"ул. Ткача, д. 3",р-н Пролетарский,кирпичный,1,16,2,54.4,49,9.3,лоджия,Новострой,3307000
207,"ул. Псковская, д. 7",р-н Московский,кирпичный,12,16,3,75.3,43.3,11.4,лоджия,Новострой,4523000
208,"ул. Псковская, д. 7",р-н Московский,кирпичный,7,16,1,42.4,17.6,10.3,лоджия,Новострой,2635000
209,"ул. Псковская, д. 7",р-н Московский,кирпичный,9,16,1,42.4,17.7,10.3,лоджия,Новострой,2615000
210,"ул. Псковская, жилой дом",р-н Московский,кирпичный,8,16,3,75.5,38.2,15.9,лоджия,Новострой,4223000
211,"Тверская область, Тверь, ул. Хромова, 27к2",р-н Заволжский,кирпичный,1,17,1,48.5,19.6,14.9,лоджия,Вторичка,2300000
212,"Тверь, Псковская улица",р-н Московский,кирпичный,11,16,1,45.2,18.6,13.8,лоджия,Новострой,2613000
213,"ул. Псковская, жилой дом",р-н Московский,кирпичный,9,16,2,65.1,18.6,12.3,лоджия,Новострой,3667000
214,"Тверская область, Тверь, Пролетарская наб., 9",р-н Пролетарский,панельный,4,9,3,62.9,43.2,7.6,лоджия,Вторичка,3550000
215,"Тверская область, Тверь, 2-я ул. Красина, 82",р-н Заволжский,кирпичный,3,17,3,82,43,15.5,лоджия,Вторичка,5300000
